time/fps,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/policy_loss,time/iterations,rollout/ep_len_mean,train/n_updates
167,-3.1609118877895526e-08,0.016680680215358734,-10.305000000000001,2,500,0.1,-2.859888792037964,-0.0,100,31.5,99
185,-5.230978104009409e-07,0.01033526100218296,-10.387916666666667,5,1000,0.1,0.0,-0.0,200,39.791666666666664,199
192,-3.143516664749768e-07,0.008370526134967804,-10.413448275862073,7,1500,0.1,0.0,-0.0,300,42.3448275862069,299
201,-4.192880567188695e-07,0.007772447075694799,-10.50078947368421,9,2000,0.1,0.0,-0.0,400,51.078947368421055,399
208,-5.249096375337103e-07,0.007577949203550816,-10.475882352941175,11,2500,0.1,0.0,-0.0,500,48.588235294117645,499
215,-5.259389581624418e-07,0.007505160756409168,-10.446000000000002,13,3000,0.1,0.0,-0.0,600,45.6,599
219,-3.171856803874107e-07,0.007478212472051382,-10.43278481012658,15,3500,0.1,0.0,-0.0,700,44.278481012658226,699
210,-5.296114409247821e-07,0.007468256633728743,-10.396428571428572,19,4000,0.1,0.0,-0.0,800,40.642857142857146,799
204,-9.08021768886158e-10,0.007464972790330648,-10.398399999999999,21,4500,0.1,0.0,-0.0,900,40.84,899
202,-7.176080885074043e-07,131.5135040283203,-10.400800000000002,24,5000,0.1,0.0,-0.0,1000,41.08,999
204,-5.353144274522492e-07,0.0074637639336287975,-10.335799999999999,26,5500,0.1,-1.1920928955078125e-07,-0.0,1100,34.58,1099
207,-5.367149356061418e-07,0.0074640437960624695,-10.3301,28,6000,0.1,0.0,-0.0,1200,34.01,1199
210,-1.4457700103776006e-07,0.007464417722076178,-10.3639,30,6500,0.1,0.0,-0.0,1300,37.39,1299
213,-2.8940959850842773e-07,0.007464911323040724,-10.3544,32,7000,0.1,0.0,-0.0,1400,36.44,1399
210,-2.1814382478169136e-07,0.007465476635843515,-10.3521,35,7500,0.1,-1.1920928955078125e-07,-0.0,1500,36.21,1499
206,-1.1068397043345612e-07,0.007465875241905451,-10.3779,38,8000,0.1,0.0,-0.0,1600,38.79,1599
205,-9.226409081186659e-10,0.007466453593224287,-10.374,41,8500,0.1,-1.1920928955078125e-07,-0.0,1700,38.4,1699
206,-2.2081643180626997e-07,0.11429526656866074,-10.3686,43,9000,0.1,-1.1920928955078125e-07,-0.0,1800,37.86,1799
207,-5.516873784472409e-07,0.007467348128557205,-10.3681,45,9500,0.1,0.0,-0.0,1900,37.81,1899
210,-5.56172210508521e-07,0.007467890623956919,-10.3581,47,10000,0.1,5.960464477539063e-08,-0.0,2000,36.81,1999
211,-5.615200393549458e-07,0.007468201220035553,-10.349899999999998,49,10500,0.1,0.0,-0.0,2100,35.99,2099
210,-9.340842543892336e-10,0.007468821946531534,-10.361199999999998,52,11000,0.1,0.0,-0.0,2200,37.12,2199
207,-9.335962003476084e-10,0.007469245698302984,-10.3578,55,11500,0.1,0.0,-0.0,2300,36.78,2299
206,-5.209391815697018e-07,53.840087890625,-10.365600000000002,58,12000,0.1,1.1920928955078125e-07,-0.0,2400,37.56,2399
206,-7.033449378468504e-07,106.0372314453125,-10.3792,60,12500,0.1,0.0,-0.0,2500,38.92,2499
208,-3.456692923009541e-07,0.1142810732126236,-10.382099999999998,62,13000,0.1,0.0,-0.0,2600,39.21,2599
209,-4.4693646827909106e-07,0.0074711949564516544,-10.377399999999998,64,13500,0.1,0.0,-0.0,2700,38.74,2699
211,-2.3385533154396398e-07,0.007471838034689426,-10.3958,66,14000,0.1,0.0,-0.0,2800,40.58,2799
210,-5.863599881195114e-07,0.007472429424524307,-10.4027,68,14500,0.1,0.0,-0.0,2900,41.27,2899
209,-4.701682030372467e-07,0.007472846191376448,-10.4234,71,15000,0.1,0.0,-0.0,3000,43.34,2999
208,-2.3796101800144243e-07,0.007473436649888754,-10.4301,74,15500,0.1,0.0,-0.0,3100,44.01,3099
208,-3.577414133815182e-07,0.0074736676178872585,-10.4092,76,16000,0.1,0.0,-0.0,3200,41.92,3199
209,-5.107655169922509e-07,53.847877502441406,-10.4382,78,16500,0.1,1.1920928955078125e-07,-0.0,3300,44.82,3299
210,-9.539710132955292e-10,0.007475129794329405,-10.429299999999998,80,17000,0.1,-1.1920928955078125e-07,-0.0,3400,43.93,3399
211,-4.2415058487677015e-07,53.8492546081543,-10.431599999999998,82,17500,0.1,-1.1920928955078125e-07,-0.0,3500,44.16,3499
210,-4.869170879828744e-07,0.007475944701582193,-10.438799999999999,85,18000,0.1,0.0,-0.0,3600,44.88,3599
209,-6.123142384240055e-07,0.007476282771676779,-10.405899999999999,88,18500,0.1,0.0,-0.0,3700,41.59,3699
208,-6.80075117998058e-07,53.851802825927734,-10.408199999999999,91,19000,0.1,1.1920928955078125e-07,-0.0,3800,41.82,3799
208,-6.235095497686416e-07,0.11425459384918213,-10.383999999999999,93,19500,0.1,0.0,-0.0,3900,39.4,3899
209,-6.275223540797015e-07,0.007477571256458759,-10.398,95,20000,0.1,0.0,-0.0,4000,40.8,3999
210,-5.016497084397997e-07,0.007478069048374891,-10.3715,97,20500,0.1,0.0,-0.0,4100,38.15,4099
