#{"t_start": 1716827975.584776, "env_id": "None"}
r,l,t
-10.13,14,3.082762
-10.28,29,3.2112
-10.03,4,3.237395
-11.01,102,3.785065
-10.42,43,4.06391
-10.18,19,4.177551
-10.22,23,4.282408
-10.35,36,4.484413
-10.65,66,4.852621
-10.22,23,4.982248
-10.29,30,5.148492
-10.03,4,5.172636
-10.28,29,5.402445
-10.18,19,5.481664
-10.93,94,5.959719
-10.58,59,6.28398
-10.29,30,6.460939
-11.96,197,7.40893
-10.07,8,7.438229
-10.05,6,7.461891
-10.07,8,7.497025
-10.18,19,7.59569
-10.24,25,7.688414
-10.67,68,8.002274
-10.72,73,8.28101
-10.98,99,8.703499
-10.16,17,8.792669
-10.72,73,9.124916
-10.1,11,9.165615
-12.82,283,10.655717
-10.36,37,10.840005
-11.11,112,11.380543
-10.66,67,11.631728
-10.28,29,11.738473
-11.11,112,12.143637
-10.07,8,12.174348
-10.14,15,12.258215
-10.49,50,12.492021
-10.61,62,12.738334
-10.32,33,12.866199
-10.85,86,13.174757
-10.2,21,13.249506
-10.7,71,13.6008
-10.34,35,13.726558
-10.34,35,13.851689
-10.34,35,13.999729
-10.08,9,14.033298
-10.34,35,14.16891
-10.28,29,14.308224
-10.59,60,14.523395
-10.25,26,14.642786
-10.55,56,14.91027
-10.24,25,15.000582
-10.16,17,15.072852
-10.31,32,15.185546
-10.62,63,15.428252
-10.12,13,15.471132
-10.32,33,15.590878
-10.02,3,15.598446
-10.23,24,15.686931
-10.06,7,15.717652
-10.09,10,15.753188
-11.68,169,16.435546
-10.25,26,16.534458
-10.07,8,16.561089
-10.52,53,16.765896
-10.59,60,16.980409
-10.24,25,17.108414
-10.77,78,17.444016
-10.71,72,17.70581
-10.07,8,17.732521
-10.09,10,17.767559
-10.12,13,17.815821
-10.15,16,17.874211
-10.43,44,18.048291
-10.09,10,18.083901
-10.56,57,18.325028
-10.62,63,18.621031
-10.24,25,18.717355
-10.32,33,18.919215
-10.31,32,19.09134
-10.19,20,19.210971
-10.3,31,19.360919
-10.1,11,19.4264
-10.35,36,19.718032
-10.14,15,19.793975
-10.34,35,20.01091
-10.26,27,20.175966
-10.14,15,20.269674
-10.31,32,20.453109
-10.34,35,20.695907
-10.06,7,20.809234
-10.08,9,20.861558
-10.3,31,21.018904
-10.36,37,21.242444
-10.28,29,21.414813
-10.11,12,21.47363
-10.37,38,21.691649
-10.62,63,22.100447
-10.41,42,22.342498
-10.05,6,22.373729
-10.18,19,22.493077
-10.55,56,22.82175
-10.05,6,22.856389
-10.05,6,22.903742
-10.21,22,23.034273
-10.24,25,23.225335
-10.49,50,23.49421
-10.38,39,23.701478
-10.86,87,24.204243
-10.19,20,24.369894
-10.52,53,24.652204
-10.27,28,24.79332
-11.15,116,25.368386
-10.07,8,25.402087
-10.72,73,25.856287
-10.67,68,26.196395
-10.07,8,26.2336
-10.62,63,26.548321
-10.23,24,26.68379
-10.08,9,26.775496
-10.38,39,27.027246
-10.81,82,27.430943
-10.11,12,27.495728
-10.25,26,27.620053
-10.16,17,27.697677
-10.31,32,27.882695
-10.13,14,28.016483
-10.15,16,28.112132
-10.26,27,28.262041
-10.18,19,28.353514
-10.43,44,28.519209
-10.41,42,28.66591
-10.08,9,28.701801
-10.57,58,28.915232
-10.52,53,29.15035
-10.08,9,29.220394
-10.32,33,29.34321
-10.54,55,29.542149
-10.5,51,29.737378
-10.84,85,30.043591
-10.05,6,30.062747
-10.1,11,30.102544
-10.72,73,30.46301
-10.56,57,30.664549
-10.21,22,30.753134
-10.13,14,30.801444
-10.18,19,30.873878
-10.31,32,31.010129
-10.19,20,31.081078
-10.11,12,31.121268
-10.21,22,31.199989
-10.43,44,31.360789
-10.47,48,31.602295
-10.65,66,31.866931
-11.21,122,32.32009
-10.78,79,32.618696
-10.57,58,32.922883
-10.54,55,33.122239
-10.31,32,33.239285
-10.09,10,33.275411
-11.0,101,33.639824
-10.08,9,33.676385
-10.39,40,33.821611
-10.18,19,33.891005
-10.25,26,34.082165
-10.56,57,34.290958
-10.47,48,34.477022
-10.19,20,34.548421
-10.84,85,34.855423
-10.21,22,34.946284
-10.31,32,35.059399
-10.17,18,35.154553
-10.46,47,35.371019
-10.3,31,35.481072
-10.42,43,35.63656
-10.31,32,35.755044
-10.49,50,35.954982
-10.29,30,36.124731
-10.08,9,36.17403
-10.13,14,36.2566
-10.06,7,36.296245
-10.11,12,36.419273
-10.06,7,36.4604
-10.21,22,36.56617
-10.63,64,36.933211
-10.42,43,37.169343
-10.71,72,37.649173
-11.42,143,38.451471
-10.83,84,38.984957
-10.1,11,39.040169
-10.16,17,39.141073
-10.53,54,39.483639
-10.14,15,39.578001
-10.17,18,39.680666
-10.54,55,40.023552
-10.21,22,40.125764
-10.67,68,40.508991
-10.57,58,40.841954
-10.29,30,41.007137
-10.38,39,41.272588
-10.49,50,41.54636
-10.08,9,41.596245
-10.17,18,41.681738
-10.27,28,41.828764
-10.07,8,41.872568
-10.75,76,42.262824
-10.13,14,42.351055
-10.59,60,42.710081
-10.1,11,42.76572
-10.04,5,42.789867
-10.28,29,42.939874
-11.06,107,43.473768
-10.39,40,43.746096
-10.4,41,43.95993
-10.38,39,44.166073
-10.17,18,44.254233
-10.34,35,44.428838
-10.12,13,44.490034
-10.33,34,44.670272
-10.38,39,44.947699
-10.39,40,45.187086
-10.16,17,45.245448
-10.09,10,45.281498
-10.36,37,45.419088
-10.65,66,45.660324
-10.13,14,45.711708
-10.39,40,45.874757
-10.36,37,46.098437
-10.06,7,46.120556
-10.25,26,46.219229
-10.46,47,46.387337
-10.34,35,46.517804
-10.4,41,46.661681
-10.14,15,46.716118
-10.05,6,46.736254
-10.6,61,46.986026
-10.38,39,47.199439
-10.58,59,47.415682
-10.27,28,47.520493
-10.6,61,47.738214
-10.5,51,47.943384
-11.35,136,48.530673
-10.17,18,48.598482
-10.5,51,48.777773
-10.08,9,48.812583
-10.07,8,48.844037
-10.23,24,48.926821
-10.36,37,49.064285
-10.7,71,49.319162
