train/learning_rate,rollout/ep_len_mean,time/total_timesteps,rollout/return_std,rollout/ep_rew_mean,train/step_size,time/fps,train/delta_std,train/iterations,time/time_elapsed
0.01,21.75,348,0.27757272124290466,-10.2075,0.004503322299569845,891,0.05,0,0
0.01,39.3125,977,0.57424396276474,-10.383125,0.0021767746657133102,1102,0.05,1,0
0.01,22.5625,1338,0.2695666253566742,-10.215625,0.004637070465832949,1072,0.05,2,1
0.01,30.6875,1829,0.3811507523059845,-10.296875,0.003279541153460741,1046,0.05,3,1
0.01,17.4375,2108,127.49598693847656,21.710624999999997,9.804230103327427e-06,1007,0.05,4,2
0.01,14.25,2336,0.21224190294742584,-10.1325,0.005889502819627523,1004,0.05,5,2
0.01,16.5625,2601,127.49374389648438,21.719375000000003,9.804402907320764e-06,1028,0.05,6,2
0.01,12.375,2799,127.5064926147461,21.761249999999997,9.803422472032253e-06,1018,0.05,7,2
0.01,12.25,2995,127.50624084472656,21.762500000000003,9.80344157142099e-06,972,0.05,8,3
0.01,12.0625,3188,0.22625857591629028,-10.110625,0.0055246492847800255,983,0.05,9,3
0.01,13.25,3400,127.51445007324219,21.752499999999998,9.80281038209796e-06,994,0.05,10,3
0.01,10.6875,3571,0.13370217382907867,-10.096874999999999,0.009349129162728786,994,0.05,11,3
0.01,6.9375,3682,127.47850036621094,21.815625000000004,9.80557524599135e-06,980,0.05,12,3
0.01,4.875,3760,0.03630862385034561,-10.03875,0.034426961094141006,975,0.05,13,3
0.01,11.1875,3939,0.14679773151874542,-10.101875,0.008515111170709133,986,0.05,14,3
0.01,13.3125,4152,0.2755289673805237,-10.123125,0.004536726046353579,994,0.05,15,4
0.01,21.5625,4497,127.53449249267578,21.669375000000006,9.801269698073156e-06,1005,0.05,16,4
0.01,5.25,4581,0.022360751405358315,-10.0425,0.05590120702981949,997,0.05,17,4
0.01,3.75,4641,0.010645638220012188,-10.0275,0.1174175962805748,994,0.05,18,4
0.01,7.8125,4766,0.14515338838100433,-10.068124999999998,0.008611572906374931,993,0.05,19,4
0.01,12.125,4960,0.24212585389614105,-10.11125,0.005162601824849844,994,0.05,20,4
0.01,4.9375,5039,127.47850036621094,21.835625,9.80557524599135e-06,991,0.05,21,5
0.01,4.6875,5114,0.027010777965188026,-10.036874999999998,0.04627760872244835,988,0.05,22,5
0.01,4.4375,5185,0.015478418208658695,-10.034375,0.08075694739818573,983,0.05,23,5
0.01,4.1875,5252,127.48983001708984,21.843125,9.804703040572349e-06,982,0.05,24,5
0.01,5.625,5342,174.16156005859375,53.70375,7.177243787737098e-06,983,0.05,25,5
0.01,4.3125,5411,0.013022415339946747,-10.033125,0.09598741680383682,982,0.05,26,5
0.01,4.375,5481,127.48500061035156,21.841250000000002,9.805074114410672e-06,983,0.05,27,5
0.01,3.75,5541,0.011832215823233128,-10.0275,0.1056426614522934,981,0.05,28,5
0.01,4.3125,5610,0.01195464376360178,-10.033125,0.10456078499555588,979,0.05,29,5
0.01,4.4375,5681,0.016720419749617577,-10.034375,0.07475832849740982,977,0.05,30,5
0.01,6.0,5777,174.16497802734375,53.7,7.177102816058323e-06,980,0.05,31,5
0.01,4.6875,5852,127.48316192626953,21.838124999999998,9.80521690507885e-06,981,0.05,32,5
0.01,4.0625,5917,127.4868392944336,21.844375000000003,9.804933142731898e-06,982,0.05,33,6
0.01,4.1875,5984,0.015585625544190407,-10.031875,0.08020146191120148,980,0.05,34,6
0.01,4.25,6052,0.020816724747419357,-10.032499999999999,0.060047511011362076,978,0.05,35,6
0.01,4.0625,6117,0.00997891929000616,-10.030624999999999,0.12526249885559082,976,0.05,36,6
0.01,4.125,6183,0.014999856241047382,-10.03125,0.08333343267440796,975,0.05,37,6
0.01,7.4375,6302,0.12489809095859528,-10.064374999999998,0.010008148849010468,973,0.05,38,6
0.01,4.4375,6373,0.015478254295885563,-10.034375,0.08075780421495438,969,0.05,39,6
0.01,3.875,6435,0.013601337559521198,-10.028749999999999,0.09190188348293304,969,0.05,40,6
0.01,4.125,6501,0.02362889051437378,-10.03125,0.05290106311440468,970,0.05,41,6
0.01,3.9375,6564,0.014361043460667133,-10.029374999999998,0.08704026788473129,970,0.05,42,6
0.01,6.625,6670,127.41900634765625,21.81875,9.810153642320074e-06,966,0.05,43,6
0.01,5.0625,6751,0.024891601875424385,-10.040624999999999,0.05021749064326286,962,0.05,44,7
0.01,4.8125,6828,127.49150085449219,21.836875000000003,9.804574801819399e-06,959,0.05,45,7
0.01,5.8125,6921,127.45417022705078,21.826875,9.807446986087598e-06,961,0.05,46,7
0.01,4.375,6991,0.032634180039167404,-10.03375,0.03830324858427048,959,0.05,47,7
0.01,3.8125,7052,0.009810568764805794,-10.028125,0.12741199135780334,960,0.05,48,7
0.01,4.9375,7131,0.033559639006853104,-10.039375,0.037246983498334885,961,0.05,49,7
0.01,3.5,7187,0.008164647035300732,-10.024999999999999,0.1530967354774475,960,0.05,50,7
0.01,6.0625,7284,0.08070264756679535,-10.050625,0.015488933771848679,962,0.05,51,7
0.01,3.8125,7345,0.00981047097593546,-10.028125,0.12741325795650482,958,0.05,52,7
0.01,4.5,7417,0.015492103062570095,-10.035,0.08068561553955078,955,0.05,53,7
0.01,4.1875,7484,127.47917175292969,21.843124999999993,9.805522495298646e-06,953,0.05,54,7
0.01,4.25,7552,127.48200225830078,21.8425,9.805305126064923e-06,949,0.05,55,7
0.01,4.5,7624,0.044870130717754364,-10.035,0.027858097106218338,945,0.05,56,8
0.01,4.5625,7697,0.015903253108263016,-10.035625,0.07859965413808823,943,0.05,57,8
0.01,4.25,7765,0.01843908056616783,-10.032499999999999,0.06779033690690994,943,0.05,58,8
