#{"t_start": 1716825818.5659237, "env_id": "None"}
r,l,t
-10.05,6,1.47963
-10.02,3,1.48463
-10.02,3,1.488139
-10.02,3,1.492149
-10.43,44,1.530948
-10.05,6,1.535439
-10.14,15,1.546953
-10.02,3,1.550466
-10.35,36,1.575623
-10.28,29,1.596809
-10.27,28,1.616925
-10.2,21,1.635067
-10.02,3,1.637083
-10.02,3,1.640333
-10.33,34,1.663487
-11.1,111,1.744973
-12.11,212,1.936927
-10.08,9,1.942927
-10.02,3,1.944928
-11.05,106,2.025344
-10.34,35,2.051087
-10.02,3,2.054082
-10.16,17,2.069277
-10.03,4,2.072318
-10.37,38,2.101936
-10.02,3,2.104927
-10.04,5,2.108928
-10.02,3,2.112473
-11.05,106,2.191734
-10.52,53,2.244582
-10.02,3,2.247909
-10.28,29,2.276726
-10.04,5,2.289246
-10.84,85,2.376033
-10.02,3,2.378432
-10.03,4,2.381432
-10.14,15,2.402133
-10.06,7,2.410167
-10.02,3,2.415167
-10.54,55,2.477254
-10.02,3,2.481817
-10.16,17,2.504828
-10.5,51,2.55687
-10.59,60,2.5978
-10.02,3,2.5998
-10.02,3,2.601801
-10.43,44,2.635584
-10.02,3,2.637583
-10.11,12,2.653144
-10.02,3,2.655144
-10.24,25,2.672717
-10.29,30,2.694125
-10.04,5,2.698126
-10.69,70,2.75193
-10.04,5,2.758931
-10.32,33,2.796987
-10.02,3,2.800987
-10.67,68,2.880943
-10.02,3,2.88594
-10.02,3,2.890452
-11.07,108,3.014365
-10.02,3,3.018357
-10.06,7,3.026895
-11.12,113,3.138587
-10.31,32,3.192884
-10.5,51,3.297679
-10.02,3,3.301192
-10.03,4,3.305191
-10.68,69,3.364846
-10.33,34,3.397387
-10.03,4,3.402387
-10.03,4,3.4069
499.82,19,3.424931
-10.23,24,3.445945
-10.04,5,3.450452
-10.02,3,3.453455
-10.02,3,3.456456
-10.03,4,3.459964
-10.14,15,3.477486
-10.04,5,3.483741
-10.05,6,3.495282
-10.2,21,3.511953
-10.02,3,3.515952
-10.03,4,3.519459
-10.29,30,3.547487
-10.87,88,3.653956
-10.08,9,3.662962
-10.03,4,3.666471
-10.02,3,3.668471
-10.18,19,3.681984
-10.02,3,3.683984
-10.02,3,3.687495
-10.02,3,3.689495
-10.1,11,3.700008
-10.06,7,3.705009
-10.13,14,3.715521
-10.25,26,3.740054
499.82,19,3.758957
-10.03,4,3.762132
-10.02,3,3.765132
-10.02,3,3.767132
-10.02,3,3.769638
-10.02,3,3.772643
-10.02,3,3.774642
-10.02,3,3.777642
-10.02,3,3.78015
-10.03,4,3.783155
-10.02,3,3.786156
-10.48,49,3.822299
-10.02,3,3.8253
-10.44,45,3.855538
-10.9,91,3.921616
-10.82,83,4.032666
-10.05,6,4.040672
499.91,10,4.054382
-10.15,16,4.073954
-10.04,5,4.077951
-10.02,3,4.080951
-10.04,5,4.084464
-10.04,5,4.088466
-10.02,3,4.091466
-10.04,5,4.094978
-10.22,23,4.111112
-10.02,3,4.11419
-10.02,3,4.117189
-10.21,22,4.133272
-10.02,3,4.138785
-10.02,3,4.140784
-10.02,3,4.149313
-10.02,3,4.151827
-10.02,3,4.155341
-10.07,8,4.166859
-10.03,4,4.172858
-10.02,3,4.177374
-10.02,3,4.182374
-11.03,104,4.311371
-10.04,5,4.318908
-10.03,4,4.324918
-10.12,13,4.370776
499.91,10,4.394799
-10.19,20,4.450101
-10.02,3,4.454816
-10.05,6,4.465326
-10.03,4,4.470326
-10.05,6,4.481839
-10.93,94,4.555942
-10.1,11,4.564914
-10.22,23,4.584936
-10.05,6,4.589442
-10.02,3,4.592448
-10.03,4,4.595449
-10.02,3,4.598449
-10.03,4,4.601962
-10.02,3,4.604961
-10.03,4,4.607963
-10.02,3,4.611475
-10.17,18,4.624985
-10.02,3,4.626987
-10.03,4,4.629987
-10.03,4,4.6345
-10.04,5,4.644029
-11.39,140,4.754414
-10.03,4,4.757446
-10.03,4,4.760446
-10.03,4,4.764445
-10.04,5,4.76796
-10.04,5,4.771992
499.93,8,4.777534
-10.05,6,4.782534
-10.02,3,4.784534
-10.04,5,4.791114
-10.05,6,4.795115
-10.04,5,4.799657
-10.02,3,4.802658
-10.02,3,4.804656
-10.05,6,4.809197
-10.02,3,4.818678
-10.02,3,4.820678
-10.02,3,4.82368
-10.03,4,4.826678
-10.02,3,4.829192
-10.42,43,4.859728
-10.29,30,4.880297
-10.03,4,4.883333
-10.03,4,4.886336
-10.04,5,4.890332
-10.16,17,4.910449
-10.03,4,4.916027
