time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,train/learning_rate,train/loss,train/n_updates
4,-10.08,2486,36,9.0,0.9828999999999998,0,,,
8,-10.08625,3553,77,9.625,0.9634249999999999,0,,,
12,-10.077499999999999,531,105,8.75,0.9501250000000002,0,0.1,0.5940293669700623,1
16,-10.099375,546,175,10.9375,0.9168749999999997,0,0.1,0.5922396183013916,18
20,-10.092500000000001,557,205,10.25,0.9026250000000002,0,0.1,0.8138303756713867,26
24,-10.099583333333333,598,263,10.958333333333334,0.875075,0,0.1,0.533244252204895,40
28,-10.099642857142856,609,307,10.964285714285714,0.8541750000000002,0,0.1,0.7683500647544861,51
32,-10.1146875,646,399,12.46875,0.8104749999999998,0,0.1,0.6767987608909607,74
36,-10.114722222222222,659,449,12.472222222222221,0.7867250000000003,0,0.1,0.5895951986312866,87
40,-10.11925,682,517,12.925,0.7544249999999997,0,0.1,0.3088108003139496,104
44,-10.121363636363636,687,578,13.136363636363637,0.7254499999999997,0,0.1,0.6110422611236572,119
48,-10.128958333333333,700,667,13.895833333333334,0.6831750000000001,0,0.1,0.6018005013465881,141
52,-10.132692307692308,699,742,14.26923076923077,0.6475499999999998,1,0.1,0.03256335109472275,160
56,-10.128214285714288,702,774,13.821428571428571,0.6323500000000004,1,0.1,0.12314612418413162,168
60,-10.128000000000002,703,828,13.8,0.6067000000000001,1,0.1,0.002610723953694105,181
64,-10.123281250000002,703,853,13.328125,0.5948250000000004,1,0.1,1.0737758874893188,188
68,-10.128088235294118,707,939,13.808823529411764,0.5539749999999996,1,0.1,0.7455954551696777,209
72,-3.044583333333333,702,993,13.791666666666666,0.5283250000000003,1,0.1,0.6907546520233154,223
76,-3.4185526315789474,695,1057,13.907894736842104,0.4979250000000005,1,0.1,0.6142957806587219,239
80,-3.7600000000000002,688,1160,14.5,0.4489999999999996,1,0.1,0.3025321364402771,264
84,-4.064523809523809,683,1226,14.595238095238095,0.41764999999999985,1,0.1,0.5644612312316895,281
88,-4.342954545454546,664,1306,14.840909090909092,0.3796499999999998,1,0.1,0.6376652121543884,301
92,-4.594782608695653,657,1364,14.826086956521738,0.35209999999999975,2,0.1,0.35484686493873596,315
96,0.4822916666666674,638,1466,15.270833333333334,0.30364999999999975,2,0.1,0.010898683220148087,341
