#{"t_start": 1716825943.2635386, "env_id": "None"}
r,l,t
-10.07,8,2.851495
-10.15,16,2.852495
-10.07,8,2.853493
-10.03,4,2.854491
-10.02,3,2.858686
-10.05,6,2.858686
-10.2,21,2.860684
-10.1,11,2.861682
-10.04,5,2.866684
-10.02,3,2.866684
-10.04,5,2.866684
-10.14,15,3.037601
-10.06,7,3.047203
-10.03,4,3.051201
-10.47,48,3.132997
-10.1,11,3.160393
-10.06,7,3.174907
-10.07,8,3.188895
-10.02,3,3.193419
-10.11,12,3.207934
-10.05,6,3.217773
-10.08,9,3.227285
-10.12,13,3.245304
-10.29,30,3.278342
-10.24,25,3.31685
-10.02,3,3.321845
-10.09,10,3.338868
-10.05,6,3.343869
-10.15,16,3.366403
-10.25,26,3.402452
-10.32,33,3.441093
-10.16,17,3.456603
-10.09,10,3.471114
-10.09,10,3.482063
-10.04,5,3.488069
-10.24,25,3.521114
-10.09,10,3.534131
-10.07,8,3.542136
-10.26,27,3.572952
-10.22,23,3.597535
-10.23,24,3.628055
-10.02,3,3.629061
-10.21,22,3.660597
-10.11,12,3.680642
-10.51,52,3.751213
-10.13,14,3.767233
-10.08,9,3.778744
-10.13,14,3.792761
-10.42,43,3.849842
-10.07,8,3.861352
-10.08,9,3.871865
-10.14,15,3.900904
-10.02,3,3.908904
-10.09,10,3.918413
-10.1,11,3.932435
-10.07,8,3.941944
-10.34,35,3.994753
-10.11,12,4.010264
-10.03,4,4.015774
-10.02,3,4.016774
-10.02,3,4.025277
-10.09,10,4.037791
-10.04,5,4.043792
-10.06,7,4.053302
-10.08,9,4.072323
-10.28,29,4.11012
-10.16,17,4.129783
-10.3,31,4.166864
-10.08,9,4.182511
-10.14,15,4.206041
499.85,16,4.233319
-10.13,14,4.254339
-10.16,17,4.292045
-10.16,17,4.316583
-10.24,25,4.349128
-10.04,5,4.359639
-10.31,32,4.415461
-10.2,21,4.449637
-10.2,21,4.485267
-10.28,29,4.523299
-10.21,22,4.561349
-10.14,15,4.586372
-10.12,13,4.607641
-10.15,16,4.633405
-10.06,7,4.648492
-10.6,61,4.77774
-10.04,5,4.785738
-10.06,7,4.803903
-10.13,14,4.828457
-10.06,7,4.843266
-10.22,23,4.886337
-10.13,14,4.913354
499.72,29,4.985223
-10.1,11,5.006594
-10.13,14,5.042745
-10.47,48,5.136782
-10.1,11,5.162326
-10.05,6,5.174835
-10.06,7,5.190349
-10.08,9,5.207391
-10.05,6,5.222902
-10.04,5,5.233418
-10.04,5,5.243942
-10.11,12,5.272112
-10.49,50,5.408838
-10.02,3,5.411846
-10.06,7,5.43387
-10.02,3,5.444
-10.04,5,5.46005
-10.04,5,5.470179
