#{"t_start": 1716949820.8427901, "env_id": "None"}
r,l,t
-0.2,20,3.821483
-0.13,13,3.874819
-0.12,12,3.925091
-0.08,8,3.958142
-0.22,22,4.038955
-0.05,5,4.051478
-0.08,8,4.069261
-0.07,7,4.082785
-0.11,11,4.104817
-0.08,8,4.127628
-0.1,10,4.151346
-0.04,4,4.158882
-0.2,20,4.199519
-0.05,5,4.210138
-0.1,10,4.229689
-0.08,8,4.252252
-0.17,17,4.299388
-0.16,16,4.337565
-0.45,45,4.541832
-0.15,15,4.607065
-0.16,16,4.676532
-0.2,20,4.729681
-0.11,11,4.75328
-0.1,10,4.775882
-0.1,10,4.80184
-0.03,3,4.809355
-0.05,5,4.820919
-0.12,12,4.848017
-0.12,12,4.876184
-0.11,11,4.902778
-0.11,11,4.927816
-0.17,17,4.964976
-0.08,8,4.981036
-0.11,11,5.007623
-0.16,16,5.043353
-0.36,36,5.147366
-0.07,7,5.169512
-0.17,17,5.228224
-0.05,5,5.244754
-0.09,9,5.276141
-0.33,33,5.364947
-0.07,7,5.3815
-0.14,14,5.429121
-0.05,5,5.442315
-0.26,26,5.534264
-0.16,16,5.580992
-0.14,14,5.642837
-0.1,10,5.676559
-0.06,6,5.69109
-0.05,5,5.704122
-0.09,9,5.726171
-0.08,8,5.745229
-0.06,6,5.759766
-0.11,11,5.789493
-0.12,12,5.818974
-0.08,8,5.83754
-0.14,14,5.870669
-0.06,6,5.891849
-0.14,14,5.924429
-0.04,4,5.934483
-0.13,13,5.96766
-0.03,3,5.975955
-0.06,6,5.994791
-0.18,18,6.049142
-0.23,23,6.131738
-0.18,18,6.176948
-0.12,12,6.209054
-0.08,8,6.235421
-0.13,13,6.275106
-0.1,10,6.297186
-0.04,4,6.30624
-0.23,23,6.378599
-0.03,3,6.385626
-0.06,6,6.398679
-0.03,3,6.405713
-0.05,5,6.416772
-0.1,10,6.445558
-0.14,14,6.476685
-0.04,4,6.485242
-0.22,22,6.535419
-0.11,11,6.567998
-0.18,18,6.61261
-0.05,5,6.627172
-0.3,30,6.768063
-0.2,20,6.830812
-0.16,16,6.879524
-0.3,30,7.014066
-0.1,10,7.037611
-0.15,15,7.084845
-0.09,9,7.112592
-0.21,21,7.17658
-0.05,5,7.191253
-0.11,11,7.222564
-0.19,19,7.280895
-0.1,10,7.313763
-0.06,6,7.327801
-0.04,4,7.336845
-0.05,5,7.347889
-0.15,15,7.381024
-0.03,3,7.386554
-0.16,16,7.423722
-0.11,11,7.448822
-0.03,3,7.456863
-0.03,3,7.463381
-0.08,8,7.480953
-0.16,16,7.517308
-0.06,6,7.535841
-0.22,22,7.587033
-0.05,5,7.598058
-0.3,30,7.676724
-0.08,8,7.693797
-0.04,4,7.70147
-0.05,5,7.711503
-0.07,7,7.725549
-0.03,3,7.734653
-0.14,14,7.767724
-0.09,9,7.792894
-0.08,8,7.813973
-0.16,16,7.866103
-0.15,15,7.896674
-0.12,12,7.920708
-0.1,10,7.941757
-0.09,9,7.962793
-0.09,9,7.980828
-0.05,5,7.991849
-0.41,41,8.078559
