#{"t_start": 1716944249.2110465, "env_id": "None"}
r,l,t
-10.26,27,2.958858
-10.05,6,2.989547
-10.04,5,3.013707
-10.19,20,3.104994
-10.17,18,3.193585
-10.11,12,3.240778
499.81,20,3.308905
-10.05,6,3.330497
-10.25,26,3.467923
-10.02,3,3.475946
-10.11,12,3.510405
-10.03,4,3.522434
-10.08,9,3.544322
-10.17,18,3.589249
-10.04,5,3.601787
-10.11,12,3.631352
-10.17,18,3.680542
-10.06,7,3.699109
-10.14,15,3.741513
-10.06,7,3.763557
-10.13,14,3.809934
-10.1,11,3.844662
-10.13,14,3.886222
-10.1,11,3.921776
-10.05,6,3.944619
-10.17,18,4.003942
-10.07,8,4.027573
-10.09,10,4.059909
-10.17,18,4.117146
-10.04,5,4.131189
-10.16,17,4.174513
-10.08,9,4.197149
-10.04,5,4.212676
-10.05,6,4.229365
-10.04,5,4.241431
-10.11,12,4.271419
-10.16,17,4.312499
-10.1,11,4.346565
-10.03,4,4.367911
-10.13,14,4.460558
-10.02,3,4.470545
-10.05,6,4.493654
-10.17,18,4.555333
-10.05,6,4.58889
-10.12,13,4.67628
-10.07,8,4.704381
-10.08,9,4.728486
-10.03,4,4.739707
-10.24,25,4.840443
-10.1,11,4.876087
-10.08,9,4.910393
-10.07,8,4.937445
-10.24,25,5.026924
-10.02,3,5.03896
-10.04,5,5.056003
-10.02,3,5.068083
-10.02,3,5.078105
-10.03,4,5.08764
-10.1,11,5.113546
-10.13,14,5.149444
-10.16,17,5.19463
-10.25,26,5.295728
-10.09,10,5.351548
-10.08,9,5.383475
-10.08,9,5.413378
-10.14,15,5.458873
-10.1,11,5.488648
-10.06,7,5.515398
-10.05,6,5.539021
-10.15,16,5.763454
-10.23,24,5.872436
-10.04,5,5.891541
-10.02,3,5.899046
-10.25,26,6.007124
-10.03,4,6.017746
-10.15,16,6.06602
-10.07,8,6.094141
-10.38,39,6.225844
-10.15,16,6.27629
-10.08,9,6.303867
-10.07,8,6.323937
-10.04,5,6.338994
-10.02,3,6.347505
-10.04,5,6.361718
-10.06,7,6.397512
-10.07,8,6.503461
-10.11,12,6.592648
-10.08,9,6.618839
-10.15,16,6.663543
-10.14,15,6.70894
-10.04,5,6.724482
-10.08,9,6.755183
-10.09,10,6.785727
-10.07,8,6.809258
-10.08,9,6.846936
-10.06,7,6.871523
-10.11,12,6.910619
-10.27,28,7.021417
-10.18,19,7.08075
-10.22,23,7.190438
-10.04,5,7.206871
-10.27,28,7.339576
-10.08,9,7.397449
-10.21,22,7.460415
-10.1,11,7.495615
-10.1,11,7.56672
-10.12,13,7.602975
-10.32,33,7.847533
-10.05,6,7.864395
-10.29,30,8.016647
-10.05,6,8.069769
-10.07,8,8.096695
-10.02,3,8.109037
-10.08,9,8.161524
-10.04,5,8.184754
-10.09,10,8.213365
-10.1,11,8.245511
-10.08,9,8.276002
-10.05,6,8.302687
-10.07,8,8.345863
-10.02,3,8.361295
-10.04,5,8.379494
-10.11,12,8.433311
-10.08,9,8.491865
-10.06,7,8.514075
-10.1,11,8.548133
-10.04,5,8.566705
-10.17,18,8.628844
-10.02,3,8.638876
-10.27,28,8.734525
-10.07,8,8.780464
-10.05,6,8.80885
-10.25,26,8.958051
-10.06,7,9.013533
-10.09,10,9.04523
-10.16,17,9.100495
-10.05,6,9.117056
-10.28,29,9.243341
-10.02,3,9.253567
-10.1,11,9.291415
-10.07,8,9.321273
-10.16,17,9.397721
-10.12,13,9.465591
-10.19,20,9.53857
-10.19,20,9.643444
-10.09,10,9.671988
-10.05,6,9.687327
-10.1,11,9.729638
-10.17,18,9.79058
-10.06,7,9.831824
-10.05,6,9.851416
-10.05,6,9.871614
-10.12,13,9.906678
-10.09,10,9.934403
-10.05,6,9.950785
-10.06,7,9.972417
-10.06,7,9.990704
-10.07,8,10.013029
-10.07,8,10.034592
-10.15,16,10.083634
-10.38,39,10.233088
-10.14,15,10.297712
-10.13,14,10.348426
-10.1,11,10.382833
-10.09,10,10.414895
-10.07,8,10.435501
-10.03,4,10.445521
-10.05,6,10.461045
-10.03,4,10.471595
-10.04,5,10.484612
-10.03,4,10.497123
-10.05,6,10.517214
-10.06,7,10.538962
-10.17,18,10.606684
-10.1,11,10.646583
-10.14,15,10.696378
-10.13,14,10.740738
-10.14,15,10.795613
-10.02,3,10.806626
-10.38,39,11.616921
-10.04,5,11.631486
-10.02,3,11.639485
-10.12,13,11.670414
-10.04,5,11.683438
-10.11,12,11.713447
-10.07,8,11.752365
-10.1,11,11.827464
-10.06,7,11.858954
-10.04,5,11.879125
-10.08,9,11.910376
-10.05,6,11.928766
-10.18,19,11.996628
-10.05,6,12.019447
-10.19,20,12.088588
-10.02,3,12.097725
-10.05,6,12.116906
-10.08,9,12.147987
-10.19,20,12.213324
-10.08,9,12.241555
-10.1,11,12.282599
-10.31,32,12.382179
-10.28,29,12.481341
-10.04,5,12.494591
-10.04,5,12.508939
-10.07,8,12.537737
-10.03,4,12.552547
-10.11,12,12.587546
-10.13,14,12.657192
-10.08,9,12.702529
-10.15,16,12.841672
-10.25,26,12.920986
-10.26,27,13.001593
-10.18,19,13.061742
-10.09,10,13.094329
-10.05,6,13.111666
-10.12,13,13.148548
-10.13,14,13.183716
-10.14,15,13.234926
-10.04,5,13.253487
-10.08,9,13.293406
-10.07,8,13.316741
-10.14,15,13.356358
-10.32,33,13.46088
-10.06,7,13.480418
-10.06,7,13.501692
-10.14,15,13.593479
-10.04,5,13.616312
-10.09,10,13.641389
-10.15,16,13.682605
-10.1,11,13.714535
-10.16,17,13.780532
-10.08,9,13.843704
-10.05,6,13.859736
-10.11,12,13.888836
-10.04,5,13.900897
-10.03,4,13.911411
-10.03,4,13.922664
-10.2,21,13.982669
-10.04,5,14.001588
-10.06,7,14.020719
-10.1,11,14.052603
-10.05,6,14.06863
-10.13,14,14.106242
-10.04,5,14.120278
-10.02,3,14.128508
-10.27,28,14.337761
-10.05,6,14.364586
-10.03,4,14.379127
-10.02,3,14.397295
-10.1,11,14.487121
-10.22,23,14.618936
-10.23,24,14.715343
-10.13,14,14.751963
-10.14,15,14.790659
-10.09,10,14.829077
-10.09,10,14.854635
-10.2,21,14.958502
-10.09,10,14.988069
-10.12,13,15.045239
-10.1,11,15.086878
-10.16,17,15.143956
-10.04,5,15.161515
-10.03,4,15.176929
-10.17,18,15.228714
-10.15,16,15.278902
-10.06,7,15.336441
-10.07,8,15.37414
-10.18,19,15.42788
-10.04,5,15.440404
-10.14,15,15.502402
-10.04,5,15.548994
-10.17,18,15.620301
-10.26,27,15.723498
-10.1,11,15.750364
-10.03,4,15.761219
-10.03,4,15.77325
-10.09,10,15.822664
-10.22,23,15.882629
-10.44,45,16.082506
-10.16,17,16.155593
-10.1,11,16.190385
-10.05,6,16.218127
-10.1,11,16.282411
-10.15,16,16.350655
-10.06,7,16.370712
-10.03,4,16.387285
-10.12,13,16.441689
-10.19,20,16.510441
-10.16,17,16.559229
-10.03,4,16.574911
-10.02,3,16.58894
-10.21,22,16.656669
-10.02,3,16.665314
-10.06,7,16.692836
-10.07,8,16.717197
-10.09,10,16.759171
-10.03,4,16.796766
-10.03,4,16.827503
-10.11,12,16.863898
-10.05,6,16.87851
-10.29,30,16.973269
-10.04,5,16.985797
-10.02,3,16.993305
-10.04,5,17.005827
-10.16,17,17.074282
-10.03,4,17.087307
-10.2,21,17.146666
-10.09,10,17.171257
-10.19,20,17.227161
-10.08,9,17.273056
-10.06,7,17.31891
-10.09,10,17.367753
-10.13,14,17.412426
-10.1,11,17.444509
-10.13,14,17.490781
-10.08,9,17.528416
-10.1,11,17.566359
-10.11,12,17.602528
-10.03,4,17.614557
-10.1,11,17.661283
-10.13,14,17.726602
-10.06,7,17.76537
-10.05,6,17.783728
-10.19,20,17.936289
-10.07,8,17.966273
-10.32,33,18.15189
-10.07,8,18.23144
-10.04,5,18.278875
-10.14,15,18.329338
-10.04,5,18.36654
-10.11,12,18.423412
-10.06,7,18.458629
-10.02,3,18.474086
-10.21,22,18.551528
-10.07,8,18.57634
-10.03,4,18.585929
-10.05,6,18.612681
-10.12,13,18.659295
-10.03,4,18.683874
-10.02,3,18.696421
-10.03,4,18.713628
-10.12,13,18.756445
-10.05,6,18.77974
-10.05,6,18.809014
-10.04,5,18.831641
-10.04,5,18.852695
-10.12,13,18.90503
-10.13,14,18.951631
-10.08,9,18.977548
-10.08,9,19.011481
-10.32,33,19.121547
-10.05,6,19.139644
-10.06,7,19.165498
-10.04,5,19.183279
-10.05,6,19.200332
-10.03,4,19.211906
-10.03,4,19.228454
-10.15,16,19.283242
-10.04,5,19.297266
-10.24,25,19.381137
-10.08,9,20.040546
-10.02,3,20.049554
-10.09,10,20.081748
-10.13,14,20.153641
-10.1,11,20.193314
-10.04,5,20.207823
-10.03,4,20.21885
-10.18,19,20.274723
-10.04,5,20.290588
-10.12,13,20.329191
-10.12,13,20.368872
-10.05,6,20.390694
-10.04,5,20.405728
-10.19,20,20.465972
-10.15,16,20.517844
-10.06,7,20.538522
-10.03,4,20.549579
-10.27,28,20.633093
-10.27,28,20.758366
-10.09,10,20.804471
-10.31,32,20.957673
-10.21,22,21.03062
-10.15,16,21.075698
-10.07,8,21.100822
-10.02,3,21.108827
-10.23,24,21.173784
-10.04,5,21.187805
-10.1,11,21.22683
-10.02,3,21.235851
-10.04,5,21.248874
-10.16,17,21.294496
-10.03,4,21.306518
-10.34,35,21.424269
-10.15,16,21.474106
-10.29,30,21.589396
-10.23,24,21.660559
-10.15,16,21.727657
-10.33,34,21.869568
-10.13,14,21.942382
-10.11,12,22.02468
-10.04,5,22.051845
-10.16,17,22.104647
-10.06,7,22.136596
-10.02,3,22.163922
-10.12,13,22.261383
499.81,20,22.325178
-10.02,3,22.332181
-10.43,44,22.447912
-10.06,7,22.486516
-10.03,4,22.504686
-10.03,4,22.518838
-10.15,16,22.560437
-10.32,33,22.646856
-10.05,6,22.661385
-10.02,3,22.669012
-10.07,8,22.688927
-10.06,7,22.70646
-10.03,4,22.716334
-10.03,4,22.726351
-10.1,11,22.75572
-10.28,29,22.827314
-10.06,7,22.864903
-10.12,13,22.964051
-10.14,15,23.09794
-10.12,13,23.138684
-10.07,8,23.16858
-10.12,13,23.207604
499.84,17,23.256467
-10.13,14,23.302326
-10.05,6,23.370472
-10.03,4,23.381683
-10.03,4,23.417606
-10.43,44,23.616393
-10.34,35,23.702392
-10.14,15,23.746406
-10.16,17,23.886429
-10.03,4,23.927848
-10.16,17,24.046226
-10.16,17,24.090279
-10.11,12,24.123497
-10.08,9,24.151613
-10.04,5,24.166642
-10.18,19,24.220665
-10.06,7,24.237725
-10.1,11,24.286096
-10.07,8,24.314903
-10.06,7,24.3355
-10.09,10,24.368799
-10.27,28,24.454294
-10.08,9,24.481213
-10.28,29,24.55442
-10.03,4,24.564931
-10.08,9,24.591599
-10.05,6,24.626276
-10.09,10,24.657891
-10.08,9,24.703399
-10.38,39,24.876814
-10.14,15,24.922866
-10.02,3,24.93189
-10.02,3,24.941604
-10.07,8,24.966702
-10.08,9,24.993833
-10.41,42,25.26876
-10.05,6,25.284336
-10.1,11,25.324212
-10.36,37,25.457753
-10.23,24,25.57249
-10.33,34,25.815293
-10.16,17,25.908358
-10.15,16,25.947453
-10.1,11,25.974816
-10.4,41,26.187613
-10.29,30,26.315722
-10.05,6,26.346839
-10.05,6,26.382317
-10.11,12,26.430277
-10.12,13,26.467224
-10.05,6,26.486802
-10.11,12,26.530535
-10.09,10,26.56696
-10.06,7,26.592993
-10.22,23,26.672428
-10.17,18,26.717835
-10.19,20,26.767524
-10.14,15,26.808051
-10.15,16,26.851716
-10.06,7,26.873754
-10.03,4,26.889005
-10.09,10,26.922579
-10.07,8,26.949152
-10.02,3,26.960662
-10.03,4,26.990304
-10.23,24,27.058405
-10.25,26,27.15279
-10.04,5,27.16883
-10.08,9,27.211734
-10.04,5,27.230513
-10.23,24,27.306434
-10.46,47,27.514263
-10.07,8,27.544329
-10.04,5,27.574518
-10.14,15,27.666635
-10.02,3,27.673732
-10.04,5,27.716693
-10.08,9,27.760669
-10.16,17,27.855925
-10.1,11,27.896877
-10.1,11,27.935431
-10.1,11,27.976095
-10.03,4,27.986637
-10.03,4,28.542694
499.88,13,28.589041
-10.02,3,28.601361
-10.26,27,28.685493
-10.07,8,28.722129
-10.06,7,28.758766
-10.14,15,28.826267
-10.05,6,28.844251
-10.22,23,28.907348
-10.03,4,28.917717
-10.08,9,28.940575
-10.06,7,28.961408
-10.07,8,28.981453
-10.09,10,29.006406
-10.17,18,29.055743
-10.18,19,29.110715
-10.05,6,29.132283
-10.07,8,29.159611
-10.11,12,29.196661
-10.07,8,29.220641
-10.03,4,29.230598
-10.02,3,29.238704
-10.5,51,29.410629
-10.03,4,29.425033
-10.09,10,29.460487
-10.11,12,29.499101
-10.04,5,29.516632
-10.24,25,29.58831
-10.05,6,29.605104
-10.02,3,29.616124
-10.08,9,29.650208
-10.2,21,29.718064
-10.2,21,29.791767
-10.02,3,29.802635
-10.02,3,29.81366
-10.26,27,29.955922
-10.14,15,30.008981
-10.04,5,30.042324
-10.17,18,30.187562
-10.08,9,30.220368
-10.13,14,30.269005
-10.13,14,30.317215
-10.04,5,30.330287
-10.15,16,30.37535
-10.03,4,30.388624
-10.06,7,30.406692
-10.02,3,30.414397
-10.02,3,30.422428
-10.06,7,30.442328
-10.14,15,30.480659
-10.2,21,30.548755
-10.11,12,30.585781
-10.06,7,30.605276
-10.1,11,30.632653
-10.04,5,30.645726
-10.05,6,30.662254
-10.1,11,30.688745
-10.1,11,30.719067
-10.13,14,30.756572
-10.02,3,30.764456
-10.07,8,30.784493
-10.1,11,30.821252
-10.07,8,30.853657
-10.02,3,30.868688
-10.05,6,30.889111
-10.1,11,30.919647
-10.03,4,30.932819
-10.19,20,31.024032
-10.06,7,31.09959
-10.06,7,31.128007
-10.14,15,31.181954
-10.09,10,31.208539
-10.03,4,31.222234
-10.02,3,31.248488
-10.29,30,31.390337
-10.07,8,31.427499
-10.06,7,31.46324
-10.27,28,31.578545
-10.45,46,31.736387
-10.06,7,31.755815
-10.08,9,31.778822
-10.15,16,31.823428
-10.02,3,31.83145
-10.08,9,31.853665
-10.2,21,31.913389
-10.03,4,31.938702
-10.05,6,31.990301
-10.06,7,32.046445
-10.04,5,32.061984
-10.1,11,32.089089
-10.38,39,32.225284
-10.09,10,32.26877
-10.06,7,32.288825
-10.3,31,32.385901
-10.02,3,32.392477
-10.18,19,32.451396
-10.04,5,32.4687
-10.1,11,32.54846
-10.04,5,32.593629
-10.08,9,32.662266
-10.08,9,32.716954
499.75,26,32.800477
-10.18,19,32.858222
-10.21,22,32.975061
-10.1,11,33.012686
-10.04,5,33.030312
-10.08,9,33.076513
-10.16,17,33.118846
-10.09,10,33.147524
-10.11,12,33.188199
-10.05,6,33.203744
-10.12,13,33.236282
-10.03,4,33.246553
-10.17,18,33.318005
-10.02,3,33.351776
-10.18,19,33.426615
-10.07,8,33.453604
-10.18,19,33.518535
-10.29,30,33.623309
-10.05,6,33.640483
-10.03,4,33.664307
-10.21,22,33.759542
499.85,16,33.800808
-10.05,6,33.816835
-10.2,21,33.887725
-10.29,30,33.985275
-10.05,6,34.000504
-10.14,15,34.037667
-10.05,6,34.051318
-10.06,7,34.070544
-10.09,10,34.096328
-10.16,17,34.144334
-10.03,4,34.16888
-10.07,8,34.218263
-10.13,14,34.254619
-10.14,15,34.29345
-10.32,33,34.388611
-10.13,14,34.422265
-10.09,10,34.457561
-10.12,13,34.497024
-10.06,7,34.517626
-10.12,13,34.556769
-10.16,17,34.605144
-10.03,4,34.616695
-10.04,5,34.630216
-10.09,10,34.656406
-10.22,23,34.71958
-10.05,6,34.733522
-10.05,6,34.749052
-10.17,18,34.824653
-10.04,5,34.838328
-10.15,16,34.884444
-10.08,9,34.910085
-10.17,18,34.9763
-10.04,5,34.994971
-10.02,3,35.005607
-10.22,23,35.073579
-10.19,20,35.122497
-10.05,6,35.165592
499.91,10,35.193026
-10.02,3,35.200343
-10.06,7,35.216489
499.57,44,35.33042
-10.06,7,35.34798
-10.08,9,35.368974
-10.02,3,35.376986
-10.2,21,35.430377
-10.15,16,35.470271
-10.09,10,35.495419
-10.14,15,35.542536
-10.14,15,35.608877
-10.1,11,36.291459
-10.14,15,36.338497
-10.19,20,36.406229
-10.04,5,36.421802
-10.16,17,36.47772
-10.06,7,36.505323
-10.07,8,36.53039
-10.02,3,36.540409
-10.03,4,36.551433
-10.12,13,36.587578
-10.26,27,36.67638
-10.13,14,36.715738
-10.08,9,36.754771
-10.14,15,36.870274
-10.03,4,36.903391
-10.13,14,37.028719
